task_name,structure_id,kind,op,operation_type,frequency,reference_learnability,formal_utility,n_components,composition_depth,target_length,input_length,output_entropy,positionwise_entropy_mean,positionwise_entropy_min,positionwise_entropy_max,random_baseline_token_accuracy,copy_fraction,control_type,control_for,components
A00_copy,A00_copy,atomic,copy,copy,0.0109061632033235,1.0,0.0530821971476897,0,1,6,6,4.990049996770939,4.990049996770939,4.98872949146458,4.992950045792567,0.038248697916666664,1.0,nan,nan,
A01_reverse,A01_reverse,atomic,reverse,reverse,0.0120540867248666,2.0,0.0752749154615973,0,1,6,6,4.990049996770939,4.990049996770939,4.98872949146458,4.992950045792567,0.038248697916666664,0.0283203125,nan,nan,
A02_substitute,A02_substitute,atomic,substitute,substitute,0.018948519685711,1.5,0.0426733752056038,0,1,6,6,4.9900499967709395,4.9900499967709395,4.98872949146458,4.992950045792567,0.038248697916666664,0.0,nan,nan,
A03_copy,A03_copy,atomic,copy,copy,0.280037251940008,1.0,0.1162344687252579,0,1,6,6,4.990049996770939,4.990049996770939,4.98872949146458,4.992950045792567,0.038248697916666664,1.0,nan,nan,
A04_reverse,A04_reverse,atomic,reverse,reverse,0.0134641728018988,2.0,0.1679114697925501,0,1,6,6,4.990049996770939,4.990049996770939,4.98872949146458,4.992950045792567,0.038248697916666664,0.0283203125,nan,nan,
A05_substitute,A05_substitute,atomic,substitute,substitute,0.0095362756947815,1.5,0.0,0,1,6,6,4.9900499967709395,4.9900499967709395,4.98872949146458,4.992950045792567,0.038248697916666664,0.0,nan,nan,
A06_copy,A06_copy,atomic,copy,copy,0.1352490775505667,1.0,0.1284501107688861,0,1,6,6,4.990049996770939,4.990049996770939,4.98872949146458,4.992950045792567,0.038248697916666664,1.0,nan,nan,
A07_reverse,A07_reverse,atomic,reverse,reverse,0.0142969842826973,2.0,0.031814849645611,0,1,6,6,4.990049996770939,4.990049996770939,4.98872949146458,4.992950045792567,0.038248697916666664,0.0283203125,nan,nan,
C00_reverse_then_substitute_06_04,C00_reverse_then_substitute_06_04,composite,reverse_then_substitute,reverse_then_substitute,0.0516770010672922,3.0,0.0,2,2,6,6,4.990049996770939,4.990049996770939,4.98872949146458,4.992950045792567,0.038248697916666664,0.0283203125,nan,nan,"A06_copy,A04_reverse"
C01_substitute_then_reverse_03_04,C01_substitute_then_reverse_03_04,composite,substitute_then_reverse,substitute_then_reverse,0.0278779716606898,3.0,0.0,2,2,6,6,4.990049996770939,4.990049996770939,4.98872949146458,4.992950045792567,0.038248697916666664,0.0283203125,nan,nan,"A03_copy,A04_reverse"
C02_copy_then_substitute_00_07,C02_copy_then_substitute_00_07,composite,copy_then_substitute,copy_then_substitute,0.0104088219420859,3.0,0.0,2,2,6,6,4.990049996770939,4.990049996770939,4.98872949146458,4.992950045792567,0.038248697916666664,0.0283203125,nan,nan,"A00_copy,A07_reverse"
C03_reverse_then_substitute_06_01,C03_reverse_then_substitute_06_01,composite,reverse_then_substitute,reverse_then_substitute,0.065320998729833,3.0,0.0,2,2,6,6,4.990049996770939,4.990049996770939,4.98872949146458,4.992950045792567,0.038248697916666664,0.0283203125,nan,nan,"A06_copy,A01_reverse"
C04_substitute_then_reverse_07_01,C04_substitute_then_reverse_07_01,composite,substitute_then_reverse,substitute_then_reverse,0.0099539167317642,3.0,0.0,2,2,6,6,4.990049996770939,4.990049996770939,4.98872949146458,4.992950045792567,0.038248697916666664,1.0,nan,nan,"A07_reverse,A01_reverse"
C05_copy_then_substitute_06_07,C05_copy_then_substitute_06_07,composite,copy_then_substitute,copy_then_substitute,0.0114521109717608,3.0,0.0,2,2,6,6,4.990049996770939,4.990049996770939,4.98872949146458,4.992950045792567,0.038248697916666664,0.0283203125,nan,nan,"A06_copy,A07_reverse"
C06_reverse_then_substitute_02_00,C06_reverse_then_substitute_02_00,composite,reverse_then_substitute,reverse_then_substitute,0.0426733752056038,3.0,0.0,2,2,6,6,4.9900499967709395,4.9900499967709395,4.98872949146458,4.992950045792567,0.038248697916666664,0.0,nan,nan,"A02_substitute,A00_copy"
C07_substitute_then_reverse_04_03,C07_substitute_then_reverse_04_03,composite,substitute_then_reverse,substitute_then_reverse,0.088356497064568,3.0,0.0,2,2,6,6,4.990049996770939,4.990049996770939,4.98872949146458,4.992950045792567,0.038248697916666664,0.0283203125,nan,nan,"A04_reverse,A03_copy"
K00_shortcut_for_A00_copy,K00_shortcut_for_A00_copy,shortcut,shortcut_identity,shortcut_identity,0.0163049692906072,1.0,0.0,1,2,6,6,4.990049996770939,4.990049996770939,4.98872949146458,4.992950045792567,0.038248697916666664,1.0,shortcut_no_reuse,A00_copy,A00_copy
K01_shortcut_for_A07_reverse,K01_shortcut_for_A07_reverse,shortcut,shortcut_identity,shortcut_identity,0.0175299779461095,1.0,0.0,1,2,6,6,4.990049996770939,4.990049996770939,4.98872949146458,4.992950045792567,0.038248697916666664,1.0,shortcut_no_reuse,A07_reverse,A07_reverse
K02_shortcut_for_A04_reverse,K02_shortcut_for_A04_reverse,shortcut,shortcut_identity,shortcut_identity,0.0362963425666403,1.0,0.0,1,2,6,6,4.990049996770939,4.990049996770939,4.98872949146458,4.992950045792567,0.038248697916666664,1.0,shortcut_no_reuse,A04_reverse,A04_reverse
S00_surface_rotate,S00_surface_rotate,surface_control,surface_rotate,surface_rotate,0.0206098816944667,2.0,0.0,0,1,6,6,4.990049996770939,4.990049996770939,4.98872949146458,4.992950045792567,0.038248697916666664,0.03369140625,surface_overlap_no_dependency,nan,
S01_surface_rotate,S01_surface_rotate,surface_control,surface_rotate,surface_rotate,0.0315479628573997,2.0,0.0,0,1,6,6,4.9900499967709395,4.9900499967709395,4.98872949146458,4.992950045792567,0.038248697916666664,0.03369140625,surface_overlap_no_dependency,nan,
S02_surface_rotate,S02_surface_rotate,surface_control,surface_rotate,surface_rotate,0.015236661713767,2.0,0.0,0,1,6,6,4.990049996770939,4.990049996770939,4.98872949146458,4.992950045792567,0.038248697916666664,0.0302734375,surface_overlap_no_dependency,nan,
U00_unrelated_substitute,U00_unrelated_substitute,unrelated,substitute,substitute,0.0225815364361807,1.5,0.0,0,1,6,6,4.990049996770939,4.990049996770939,4.98872949146458,4.992950045792567,0.038248697916666664,0.0,unrelated_matched,nan,
U01_unrelated_substitute,U01_unrelated_substitute,unrelated,substitute,substitute,0.0249583463503928,1.5,0.0,0,1,6,6,4.9900499967709395,4.9900499967709395,4.98872949146458,4.992950045792567,0.038248697916666664,0.0,unrelated_matched,nan,
U02_unrelated_substitute,U02_unrelated_substitute,unrelated,substitute,substitute,0.0127210958869839,1.5,0.0,0,1,6,6,4.990049996770939,4.990049996770939,4.98872949146458,4.992950045792567,0.038248697916666664,0.0,unrelated_matched,nan,
