pair_id,pair_type,source_task,target_task,filler_task,n_seeds,mean_slope_target_final_token_accuracy,ci_low_slope_target_final_token_accuracy,ci_high_slope_target_final_token_accuracy,positive_rate_slope_target_final_token_accuracy,mean_slope_target_auc_token_accuracy,ci_low_slope_target_auc_token_accuracy,ci_high_slope_target_auc_token_accuracy,positive_rate_slope_target_auc_token_accuracy,mean_slope_target_final_exact_match,ci_low_slope_target_final_exact_match,ci_high_slope_target_final_exact_match,positive_rate_slope_target_final_exact_match,mean_slope_target_auc_exact_match,ci_low_slope_target_auc_exact_match,ci_high_slope_target_auc_exact_match,positive_rate_slope_target_auc_exact_match,mean_slope_target_final_loss,ci_low_slope_target_final_loss,ci_high_slope_target_final_loss,positive_rate_slope_target_final_loss,mean_slope_target_acquisition_transfer,ci_low_slope_target_acquisition_transfer,ci_high_slope_target_acquisition_transfer,positive_rate_slope_target_acquisition_transfer,predictor_stage,predictor_multiplier,n_predictor_rows,mean_gradient_cosine,std_gradient_cosine,mean_gradient_inner_product,std_gradient_inner_product,mean_first_order_transfer_score,std_first_order_transfer_score,mean_source_gradient_norm,std_source_gradient_norm,mean_target_gradient_norm,std_target_gradient_norm,mean_source_gradient_snr,std_source_gradient_snr,mean_target_gradient_snr,std_target_gradient_snr,mean_linear_cka,std_linear_cka,pair_index,source_kind,target_kind,source_op,target_op,source_frequency,target_frequency,source_reference_learnability,target_reference_learnability,surface_overlap_proxy,formal_relation
P000_A05_substitute__to__C05_copy_then_substitute_05_07,component_to_composite,A05_substitute,C05_copy_then_substitute_05_07,K00_shortcut_for_A00_copy,3,0.010441468372231429,0.005505953090531475,0.012983630171843926,1.0,0.0059974894202554875,0.0050393363822306995,0.0067916158771699825,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09841297694614959,-0.18638553619384754,-0.006676251547677074,0.0,,,,0.0,early,1.0,3,0.09739446537069141,0.14046343486107668,0.0241139963424454,0.03480838576948597,0.0241139963424454,0.03480838576948597,0.49127644300460815,0.029078143190613262,0.48932315905888873,0.016830063954994562,0.4838268885777363,0.05530094608442414,0.3885430757638721,0.032905089510932954,0.8354195356369019,0.01857908458697625,0,atomic,composite,substitute,copy_then_substitute,0.0532697129811279,0.0168074968813639,1.5,3.0,0.1428571428571428,source_is_target_component
P001_C03_reverse_then_substitute_01_06__to__A06_copy,composite_to_component_reverse,C03_reverse_then_substitute_01_06,A06_copy,S00_surface_rotate,3,-0.1109622978028798,-0.14553571769169407,-0.060007446152823385,0.0,-0.05252889281427944,-0.08336609769187033,-0.03500696708264692,0.0,-0.0540922619047619,-0.071875,-0.04263392857142858,0.0,-0.011329592471316895,-0.018102964133414546,-0.006186700426439259,0.0,0.20367420798256272,0.1598976441792078,0.2548932909965514,1.0,-0.08746666666666647,-0.1749333333333332,2.567610939117118e-16,0.3333333333333333,early,1.0,3,0.1427246517725568,0.03422192951016012,0.0338670555502176,0.009856538716920738,0.0338670555502176,0.009856538716920738,0.4747667908668518,0.02145071520388559,0.4939204653104146,0.014858041189512814,0.39115678475472065,0.03698380212822752,0.4222975067094641,0.03476672162776093,0.8298222819964091,0.013309203097648332,1,composite,atomic,reverse_then_substitute,copy,0.0232775110742559,0.0212450889131437,3.0,1.0,0.0,target_is_source_component
P002_U00_unrelated_substitute__to__A02_substitute,control_or_surface,U00_unrelated_substitute,A02_substitute,K01_shortcut_for_A06_copy,3,-0.07027529875437424,-0.2747023923056467,0.05040922846112925,0.6666666666666666,-0.08594240740694696,-0.13081718031558118,-0.058583755987816795,0.0,-0.004985119047619046,-0.014285714285714282,0.012723214285714284,0.3333333333333333,-0.0018108596050360377,-0.0036275890953395944,0.00023963409990862845,0.3333333333333333,0.07001651241665768,-0.09826401982988638,0.3625104018620078,0.3333333333333333,,,,0.0,early,1.0,3,0.047227704533621295,0.12381056866302033,0.0092188070217768,0.027631523243551462,0.0092188070217768,0.027631523243551462,0.46647643049558,0.037826305098779316,0.4894329806168874,0.026729268193740264,0.3975984465498892,0.1211738957424937,0.4152291004690707,0.06827918517856559,0.8350205222765604,0.016019953488421005,2,unrelated,atomic,substitute,substitute,0.2886681449537463,0.1394175241070834,1.5,1.5,0.25,same_operation
P003_A06_copy__to__A00_copy,same_operation,A06_copy,A00_copy,U03_unrelated_substitute,3,0.03404017970675505,0.0005580220903667894,0.09188989230564652,1.0,0.05706060157969841,0.039037436016636964,0.08698024055635434,1.0,0.047098214285714264,0.018303571428571423,0.10446428571428568,1.0,0.011355768986699141,0.004403841760584811,0.024074065260432504,1.0,-0.08327471017837529,-0.19767801591328227,-0.018376660346984906,0.0,0.09813333333333336,0.09813333333333336,0.09813333333333336,0.3333333333333333,early,1.0,3,0.15169338829571793,0.09806360354093117,0.03454903295884523,0.021002348633635624,0.03454903295884523,0.021002348633635624,0.4939204653104146,0.014858041189512814,0.4730871617794037,0.029779586751680225,0.4222975067094641,0.03476672162776093,0.3993035849013315,0.015190332617697474,0.8311569492022196,0.015713026893630824,3,atomic,atomic,copy,copy,0.0212450889131437,0.013879145574866,1.0,1.0,0.3333333333333333,same_operation
P004_A00_copy__to__A06_copy,same_operation_reverse,A00_copy,A06_copy,U01_unrelated_substitute,3,0.04557290985470714,0.014471711431230655,0.08638394219534722,1.0,0.04915311089246412,0.034610114470714305,0.06470172241128164,1.0,0.03995535714285713,0.017187499999999988,0.08504464285714282,1.0,0.009335417935831055,0.001701235531526073,0.02170604249162354,1.0,-0.09800785552887692,-0.19363476037979133,-0.02989842210497183,0.0,,,,0.0,early,1.0,3,0.15169338829571793,0.09806360354093117,0.03454903295884523,0.021002348633635624,0.03454903295884523,0.021002348633635624,0.4730871617794037,0.029779586751680225,0.4939204653104146,0.014858041189512814,0.3993035849013315,0.015190332617697474,0.4222975067094641,0.03476672162776093,0.8311569094657898,0.015712999285578805,4,atomic,atomic,copy,copy,0.013879145574866,0.0212450889131437,1.0,1.0,0.3333333333333333,same_operation
P005_U02_unrelated_substitute__to__S00_surface_rotate,unrelated_matched,U02_unrelated_substitute,S00_surface_rotate,K00_shortcut_for_A00_copy,3,0.0009300549825032126,-0.00807291950498313,0.017931541374751444,0.3333333333333333,-0.004891359581688554,-0.007782080087571339,0.00028960784097798153,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04633511134556332,-0.01064236504691012,0.09310455322265572,0.6666666666666666,,,,0.0,early,1.0,3,0.17088766043665884,0.05840578535474665,0.03995239983002336,0.014300539969538282,0.03995239983002336,0.014300539969538282,0.4924006760120392,0.042681001887125654,0.4717614253362019,0.004205077956622889,0.4454706599691629,0.0972612813487829,0.37194495131141764,0.027937615259278015,0.8343656460444132,0.017191992203535896,5,unrelated,surface_control,substitute,surface_rotate,0.0287371851730942,0.0257275754999354,1.5,2.0,0.0,none
P006_A01_reverse__to__C00_reverse_then_substitute_01_06,component_to_composite,A01_reverse,C00_reverse_then_substitute_01_06,U03_unrelated_substitute,3,0.0844618047986711,0.07254463945116309,0.10078123978206084,1.0,0.02982591958825251,0.029105551622211043,0.030908159942496915,1.0,0.002008928571428571,0.002008928571428571,0.002008928571428571,1.0,0.0002979363387145656,0.00011136917453543997,0.00043786171184893695,1.0,-0.32386931918916273,-0.4658079964773996,-0.2175263268607005,0.0,,,,0.0,early,1.0,3,0.1675666459034467,0.0478335993995382,0.0324750790993372,0.010057108115220913,0.0324750790993372,0.010057108115220913,0.41684380173683167,0.025650282777811905,0.4612312316894531,0.019060525562063793,0.3078235394233247,0.05364644253600698,0.36562543068444725,0.02541967351929237,0.8286701242129008,0.01880338724844406,6,atomic,composite,reverse,reverse_then_substitute,0.0180702609375255,0.0112422967967871,2.0,3.0,0.1428571428571428,source_is_target_component
P007_C00_reverse_then_substitute_01_06__to__A01_reverse,composite_to_component_reverse,C00_reverse_then_substitute_01_06,A01_reverse,U01_unrelated_substitute,3,0.04419643140974494,0.03061755384717663,0.053273820877075106,1.0,0.01480664136560538,0.012157801109554148,0.017148474714072798,1.0,0.0014136904761904757,0.0,0.0022321428571428566,0.6666666666666666,7.837090059901332e-05,0.0,0.00012374352726159997,0.6666666666666666,-0.1627543290456136,-0.2206875392368861,-0.10373257909502294,0.0,,,,0.0,early,1.0,3,0.1675666459034467,0.0478335993995382,0.0324750790993372,0.010057108115220913,0.0324750790993372,0.010057108115220913,0.4612312316894531,0.019060525562063793,0.41684380173683167,0.025650282777811905,0.36562543068444725,0.02541967351929237,0.3078235394233247,0.05364644253600698,0.8286701242129008,0.01880338724844406,7,composite,atomic,reverse_then_substitute,reverse,0.0112422967967871,0.0180702609375255,3.0,2.0,0.1428571428571428,target_is_source_component
P008_S00_surface_rotate__to__A04_reverse,control_or_surface,S00_surface_rotate,A04_reverse,U02_unrelated_substitute,3,0.03421379384540368,0.017671128681727696,0.05535714626312251,1.0,0.020102930448987883,0.01782347032669252,0.022791138631094516,1.0,-1.6263032587282567e-19,-0.00022321428571428614,0.00022321428571428565,0.3333333333333333,-4.0613260229466664e-05,-0.0001451606762107429,1.2374352726159994e-05,0.6666666666666666,-0.10808437665303555,-0.19576907157897958,-0.03571968078613297,0.0,,,,0.0,early,1.0,3,0.2015778172833541,0.10281929703872852,0.04557864057521024,0.02311527018577284,0.04557864057521024,0.02311527018577284,0.4717614253362019,0.004205077956622889,0.4822763502597809,0.007745377839383939,0.37194495131141764,0.027937615259278015,0.41924476215730566,0.026413786203322576,0.8297945857048035,0.01643761323635031,8,surface_control,atomic,surface_rotate,reverse,0.0257275754999354,0.0325202873975717,2.0,2.0,0.0,none
P009_A07_reverse__to__A04_reverse,same_operation,A07_reverse,A04_reverse,S01_surface_rotate,3,0.01788194349833893,0.0027157562119619646,0.03370536395481647,1.0,0.01407260083022186,0.011987893514736765,0.016956710108271305,1.0,0.0011904761904761904,0.0,0.0035714285714285704,0.6666666666666666,0.0001437328662808323,0.0,0.00023320895522388553,0.6666666666666666,-0.07802137193225689,-0.14121882574898842,-0.0302105631147116,0.0,,,,0.0,early,1.0,3,0.23594596026300207,0.05398197794083894,0.05278661598761874,0.01168798688587889,0.05278661598761874,0.01168798688587889,0.4653554360071818,0.010101567727099787,0.4822763502597809,0.007745377839383939,0.37490676728752037,0.036385916470028645,0.41924476215730566,0.026413786203322576,0.8281549413998922,0.01946497767252708,9,atomic,atomic,reverse,reverse,0.0131131666449186,0.0325202873975717,2.0,2.0,0.3333333333333333,same_operation
P010_A05_substitute__to__A02_substitute,same_operation_reverse,A05_substitute,A02_substitute,K00_shortcut_for_A00_copy,3,0.008097726958138486,0.0011904954910277948,0.0117187431880404,1.0,-0.011757273840444622,-0.016343425631527683,-0.00915011993966529,0.0,-0.0032738095238095295,-0.007812500000000009,0.00022321428571428045,0.3333333333333333,-0.0008163899888313491,-0.001913979211087424,-0.0001630083003350459,0.0,-0.03721765790666848,-0.04958283901214581,-0.02493135588509694,0.0,,,,0.0,early,1.0,3,0.09558366313523291,0.1868493898630562,0.021532889765997733,0.041075134802707844,0.021532889765997733,0.041075134802707844,0.49127644300460815,0.029078143190613262,0.4894329806168874,0.026729268193740264,0.4838268885777363,0.05530094608442414,0.4152291004690707,0.06827918517856559,0.8375831643740336,0.01597755592018457,10,atomic,atomic,substitute,substitute,0.0532697129811279,0.1394175241070834,1.5,1.5,0.3333333333333333,same_operation
P011_A06_copy__to__C03_reverse_then_substitute_01_06,component_to_composite,A06_copy,C03_reverse_then_substitute_01_06,U03_unrelated_substitute,3,0.013578867344629132,0.005208328792027016,0.026450894560132606,1.0,0.003204268940169014,0.0010781149792662885,0.004557250713021144,1.0,0.002083333333333332,-0.002008928571428572,0.008258928571428568,0.3333333333333333,0.0002990468575489885,0.0,0.0007986216874809599,0.6666666666666666,-0.04365114484514534,-0.10281257629394569,-0.010260725021362507,0.0,,,,0.0,early,1.0,3,0.1427246517725568,0.03422192951016012,0.0338670555502176,0.009856538716920738,0.0338670555502176,0.009856538716920738,0.4939204653104146,0.014858041189512814,0.4747667908668518,0.02145071520388559,0.4222975067094641,0.03476672162776093,0.39115678475472065,0.03698380212822752,0.829822301864624,0.013309175058922576,11,atomic,composite,copy,reverse_then_substitute,0.0212450889131437,0.0232775110742559,1.0,3.0,0.0,source_is_target_component
